id,county,fairName,startDate,endDate,isoWeekKey,verificationStatus,confidence,campaignValue,recommendedCoverage,routeCluster,kellyCalendarConflictIds,sourceUrl,notes
fair-714c3beab11ce211e4cd25c9,Arkansas,Arkansas County Fair,,,,date_not_posted,0.25,monitor,staff_only,Delta / Helena-West Memphis-Marianna,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-a9c2bbe56f939da4c7898261,Ashley,Ashley County Fair,,,,date_not_posted,0.25,high_value,kelly,Southeast / Pine Bluff-Monticello-Dumas,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-13e645aa239e20936e7aaad9,Baxter,Baxter County Fair,,,,date_not_posted,0.25,high_value,kelly,Northwest / Fayetteville-Bentonville-Huntsville,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-f547de299001609800b30d85,Benton,Benton County Fair,,,,date_not_posted,0.25,combine_with_nearby,kelly,Northwest / Fayetteville-Bentonville-Huntsville,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-0fda38cc810912e89c294968,Boone,Boone County Fair,,,,date_not_posted,0.25,high_value,kelly,Northwest / Fayetteville-Bentonville-Huntsville,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-002a41c24dedd25a3db818b1,Bradley,Bradley County Fair,,,,date_not_posted,0.25,high_value,kelly,Southeast / Pine Bluff-Monticello-Dumas,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-52fc5e4b710c814c75e0bb69,Calhoun,Calhoun County Fair,,,,date_not_posted,0.25,high_value,kelly,Southeast / Pine Bluff-Monticello-Dumas,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-61021c0729f81e7b9b3b9e1e,Carroll,Carroll County Fair,,,,date_not_posted,0.25,high_value,kelly,Northwest / Fayetteville-Bentonville-Huntsville,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-174f83e4dad458279edc3436,Chicot,Chicot County Fair,,,,date_not_posted,0.25,high_value,kelly,Delta / Helena-West Memphis-Marianna,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-d88d31f59f44db8b878f8a20,Clark,Clark County Fair,,,,date_not_posted,0.25,high_value,kelly,Southwest / Hope-Texarkana-Ashdown,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-7da0f84811b62d6378c8eab1,Clay,Clay County Fair,,,,date_not_posted,0.25,high_value,kelly,NEA / Jonesboro-Paragould-Blytheville,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-b73d94c6493d8c2ffbe14321,Cleburne,Cleburne County Fair,,,,date_not_posted,0.25,monitor,staff_only,North Central / Mountain Home-Batesville-Heber Springs,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-04f021239ec63c16627655be,Cleveland,Cleveland County Fair,,,,date_not_posted,0.25,high_value,kelly,Southeast / Pine Bluff-Monticello-Dumas,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-151ce47f15b74432ab87f13e,Columbia,Columbia County Fair,,,,date_not_posted,0.25,high_value,kelly,South Arkansas / Magnolia-El Dorado-Camden,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-b27b5a4417284f0afada3d53,Conway,Conway County Fair,,,,date_not_posted,0.25,high_value,kelly,River Valley / Fort Smith-Russellville-Ozark,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-48f5859dd6b28dd41ab43a07,Craighead,Craighead County Fair,,,,date_not_posted,0.25,combine_with_nearby,kelly,NEA / Jonesboro-Paragould-Blytheville,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-85d27f33244a77c6ebeaf3c8,Crawford,Crawford County Fair,,,,date_not_posted,0.25,combine_with_nearby,kelly,River Valley / Fort Smith-Russellville-Ozark,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-b8afd5d67f546816a494f37f,Crittenden,Crittenden County Fair,,,,date_not_posted,0.25,high_value,kelly,Delta / Helena-West Memphis-Marianna,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-a37f1c08d41d393ccce52fbd,Cross,Cross County Fair,,,,date_not_posted,0.25,monitor,staff_only,Delta / Helena-West Memphis-Marianna,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-d5a81997ffd21d8e33295a4a,Dallas,Dallas County Fair,,,,date_not_posted,0.25,high_value,kelly,Southeast / Pine Bluff-Monticello-Dumas,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-cc9651c7269ecfc8096b9d5a,Desha,Desha County Fair,,,,date_not_posted,0.25,high_value,kelly,Delta / Helena-West Memphis-Marianna,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-ea84f9e21270c59495e4bc45,Drew,Drew County Fair,,,,date_not_posted,0.25,high_value,kelly,Southeast / Pine Bluff-Monticello-Dumas,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-d26e08c6e2b546afc7cecced,Faulkner,Faulkner County Fair,,,,date_not_posted,0.25,send_local,local_surrogate,Central / Pulaski-Saline-Faulkner-Lonoke-White,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-503e2036aa3f1d442448a232,Franklin,Franklin County Fair,,,,date_not_posted,0.25,combine_with_nearby,kelly,River Valley / Fort Smith-Russellville-Ozark,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-418be1689fc0c6f0d6a144f5,Fulton,Fulton County Fair,,,,date_not_posted,0.25,monitor,staff_only,NEA / Jonesboro-Paragould-Blytheville,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-e7ba6de5e98f2722037522c5,Garland,Garland County Fair,,,,date_not_posted,0.25,monitor,staff_only,Southwest / Hope-Texarkana-Ashdown,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-70f065ad962cdcf6cca83ba5,Grant,Grant County Fair,,,,date_not_posted,0.25,high_value,kelly,Central / Pulaski-Saline-Faulkner-Lonoke-White,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-a70db286b628813d5cc0e60d,Greene,Greene County Fair,,,,date_not_posted,0.25,high_value,kelly,NEA / Jonesboro-Paragould-Blytheville,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-9838e9403e37aa70bd87dc07,Hempstead,Hempstead County Fair,,,,date_not_posted,0.25,high_value,kelly,South Arkansas / Magnolia-El Dorado-Camden,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-3fcdc5868662c706c98a3d6b,Hot Spring,Hot Spring County Fair,,,,date_not_posted,0.25,high_value,kelly,Southwest / Hope-Texarkana-Ashdown,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-294510b98087835cad82e452,Howard,Howard County Fair,,,,date_not_posted,0.25,high_value,kelly,Southwest / Hope-Texarkana-Ashdown,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
fair-103fb79dd387a1a730c37df4,Independence,Independence County Fair,,,,date_not_posted,0.25,high_value,kelly,NEA / Jonesboro-Paragould-Blytheville,,,No structured fair row yet — use query templates; verify robots.txt before automated fetch. | queries:6
