id,type,title,county,city,lat,lng,startAt,verificationStatus,campaignValue,scoreTotal,routeCluster,sourceType
fair-714c3beab11ce211e4cd25c9,county_fair,Arkansas County Fair,Arkansas,,35.3325,-94.97999999999999,,date_not_posted,monitor,39,Delta / Helena-West Memphis-Marianna,manual
fair-a9c2bbe56f939da4c7898261,county_fair,Ashley County Fair,Ashley,,35.89125,-96.76142857142857,,date_not_posted,high_value,104,Southeast / Pine Bluff-Monticello-Dumas,manual
fair-13e645aa239e20936e7aaad9,county_fair,Baxter County Fair,Baxter,,36.3356,-92.3854,,date_not_posted,high_value,104,Northwest / Fayetteville-Bentonville-Huntsville,manual
fair-f547de299001609800b30d85,county_fair,Benton County Fair,Benton,,36.3729,-94.2088,,date_not_posted,good_add_on,79,Northwest / Fayetteville-Bentonville-Huntsville,manual
fair-0fda38cc810912e89c294968,county_fair,Boone County Fair,Boone,,36.3084,-93.2518,,date_not_posted,high_value,104,Northwest / Fayetteville-Bentonville-Huntsville,manual
fair-002a41c24dedd25a3db818b1,county_fair,Bradley County Fair,Bradley,,35.85375,-96.14714285714285,,date_not_posted,high_value,104,Southeast / Pine Bluff-Monticello-Dumas,manual
fair-52fc5e4b710c814c75e0bb69,county_fair,Calhoun County Fair,Calhoun,,33.67125,-96.50999999999999,,date_not_posted,high_value,104,Southeast / Pine Bluff-Monticello-Dumas,manual
fair-61021c0729f81e7b9b3b9e1e,county_fair,Carroll County Fair,Carroll,,36.2753,-93.681,,date_not_posted,high_value,104,Northwest / Fayetteville-Bentonville-Huntsville,manual
fair-174f83e4dad458279edc3436,county_fair,Chicot County Fair,Chicot,,33.02375,-95.19857142857143,,date_not_posted,high_value,104,Delta / Helena-West Memphis-Marianna,manual
fair-d88d31f59f44db8b878f8a20,county_fair,Clark County Fair,Clark,,33.99625,-97.45285714285714,,date_not_posted,high_value,104,Southwest / Hope-Texarkana-Ashdown,manual
fair-7da0f84811b62d6378c8eab1,county_fair,Clay County Fair,Clay,,36.2687,-90.9588,,date_not_posted,high_value,104,NEA / Jonesboro-Paragould-Blytheville,manual
fair-b73d94c6493d8c2ffbe14321,county_fair,Cleburne County Fair,Cleburne,,35.5123,-92.031,,date_not_posted,monitor,39,North Central / Mountain Home-Batesville-Heber Springs,manual
fair-04f021239ec63c16627655be,county_fair,Cleveland County Fair,Cleveland,,33.13375,-95.32428571428571,,date_not_posted,high_value,104,Southeast / Pine Bluff-Monticello-Dumas,manual
fair-151ce47f15b74432ab87f13e,county_fair,Columbia County Fair,Columbia,,33.2671,-93.2395,,date_not_posted,high_value,104,South Arkansas / Magnolia-El Dorado-Camden,manual
fair-b27b5a4417284f0afada3d53,county_fair,Conway County Fair,Conway,,33.98625,-97.44142857142856,,date_not_posted,high_value,104,River Valley / Fort Smith-Russellville-Ozark,manual
fair-48f5859dd6b28dd41ab43a07,county_fair,Craighead County Fair,Craighead,,35.8423,-90.7043,,date_not_posted,good_add_on,79,NEA / Jonesboro-Paragould-Blytheville,manual
fair-85d27f33244a77c6ebeaf3c8,county_fair,Crawford County Fair,Crawford,,35.5892,-94.2446,,date_not_posted,good_add_on,79,River Valley / Fort Smith-Russellville-Ozark,manual
fair-b8afd5d67f546816a494f37f,county_fair,Crittenden County Fair,Crittenden,,35.1465,-90.1845,,date_not_posted,high_value,104,Delta / Helena-West Memphis-Marianna,manual
fair-a37f1c08d41d393ccce52fbd,county_fair,Cross County Fair,Cross,,33.68875,-97.10142857142857,,date_not_posted,monitor,39,Delta / Helena-West Memphis-Marianna,manual
fair-d5a81997ffd21d8e33295a4a,county_fair,Dallas County Fair,Dallas,,33.81625,-96.67571428571428,,date_not_posted,high_value,104,Southeast / Pine Bluff-Monticello-Dumas,manual
fair-cc9651c7269ecfc8096b9d5a,county_fair,Desha County Fair,Desha,,35.59125,-96.99,,date_not_posted,high_value,104,Delta / Helena-West Memphis-Marianna,manual
fair-ea84f9e21270c59495e4bc45,county_fair,Drew County Fair,Drew,,35.35,-95,,date_not_posted,high_value,104,Southeast / Pine Bluff-Monticello-Dumas,manual
fair-d26e08c6e2b546afc7cecced,county_fair,Faulkner County Fair,Faulkner,,35.0887,-92.4421,,date_not_posted,send_local,58,Central / Pulaski-Saline-Faulkner-Lonoke-White,manual
fair-503e2036aa3f1d442448a232,county_fair,Franklin County Fair,Franklin,,35.5023,-93.8452,,date_not_posted,good_add_on,79,River Valley / Fort Smith-Russellville-Ozark,manual
fair-418be1689fc0c6f0d6a144f5,county_fair,Fulton County Fair,Fulton,,36.3837,-91.821,,date_not_posted,monitor,39,NEA / Jonesboro-Paragould-Blytheville,manual
fair-e7ba6de5e98f2722037522c5,county_fair,Garland County Fair,Garland,,34.5037,-93.0552,,date_not_posted,monitor,39,Southwest / Hope-Texarkana-Ashdown,manual
fair-70f065ad962cdcf6cca83ba5,county_fair,Grant County Fair,Grant,,33.38875,-95.0442857142857,,date_not_posted,high_value,104,Central / Pulaski-Saline-Faulkner-Lonoke-White,manual
fair-a70db286b628813d5cc0e60d,county_fair,Greene County Fair,Greene,,36.0606,-90.4973,,date_not_posted,high_value,104,NEA / Jonesboro-Paragould-Blytheville,manual
fair-9838e9403e37aa70bd87dc07,county_fair,Hempstead County Fair,Hempstead,,33.3925,-96.76285714285714,,date_not_posted,high_value,104,South Arkansas / Magnolia-El Dorado-Camden,manual
fair-3fcdc5868662c706c98a3d6b,county_fair,Hot Spring County Fair,Hot Spring,,33.03875,-96.92999999999999,,date_not_posted,high_value,104,Southwest / Hope-Texarkana-Ashdown,manual
fair-294510b98087835cad82e452,county_fair,Howard County Fair,Howard,,34.55625,-95.23571428571428,,date_not_posted,high_value,104,Southwest / Hope-Texarkana-Ashdown,manual
fair-103fb79dd387a1a730c37df4,county_fair,Independence County Fair,Independence,,35.742,-91.641,,date_not_posted,high_value,104,NEA / Jonesboro-Paragould-Blytheville,manual
fair-08ce74fb1d33b44953f4f713,county_fair,Izard County Fair,Izard,,36.3415,-91.5549,,date_not_posted,high_value,104,NEA / Jonesboro-Paragould-Blytheville,manual
