county,projectedTotalVotes,baselineDemVotes,baselineDemShare,targetVotes,targetShare,targetVoteGain,countyCapacityScore,confidence,dashboardLabel,registrationGoal,missingData
Arkansas,26299,10902,0.4145,13660,0.5194,2758,0.5477,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Ashley,26862,12043,0.4483,14981,0.5577,2938,0.5835,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Baxter,27429,13227,0.4822,16303,0.5944,3076,0.6108,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Benton,28001,14454,0.5162,17542,0.6265,3088,0.6132,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Boone,28577,15724,0.5502,18950,0.6631,3226,0.6405,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Bradley,27295,4428,0.1622,6578,0.2410,2150,0.4270,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Calhoun,27852,5442,0.1954,7642,0.2744,2200,0.4367,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Carroll,28413,6497,0.2287,8856,0.3117,2359,0.4685,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Chicot,28979,7594,0.2621,10024,0.3459,2430,0.4824,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Clark,29550,8731,0.2955,11330,0.3834,2599,0.5161,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Clay,30124,9911,0.3290,12508,0.4152,2597,0.5157,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Cleburne,30703,11133,0.3626,13799,0.4494,2666,0.5294,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Cleveland,31287,12399,0.3963,15149,0.4842,2750,0.5461,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
Columbia,31875,13709,0.4301,16695,0.5238,2986,0.5930,low,needs_data,,registration_goal|registered_voters_turnout_headroom|county_facts
