county,volunteerCommitmentTarget,currentCommitments,commitmentGap,countyVolunteerNeedPct,countyVolunteerNeedFormula,housePartyGoal,estimatedRelationalCoverage,phoneBankCapacityHours,postcardCapacityEstimate,textVolunteerCapacityHours,localGuideNeed,accessSupportNeedScore,confidence,missingData
Arkansas,59,,59,1.174,0.35*targetGainShare(1.73%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(0.69%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.60) + 0.05*accessSupport(0.45),12,295,3,80,1,1,0.450,medium,registration_goal|current_commitments
Ashley,71,,71,1.441,0.35*targetGainShare(1.84%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Baxter,71,,71,1.445,0.35*targetGainShare(1.93%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Benton,71,,71,1.436,0.35*targetGainShare(1.94%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(0.69%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Boone,71,,71,1.449,0.35*targetGainShare(2.02%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Bradley,70,,70,1.419,0.35*targetGainShare(1.35%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),14,350,4,80,2,1,0.450,medium,registration_goal|current_commitments
Calhoun,71,,71,1.421,0.35*targetGainShare(1.38%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Carroll,65,,65,1.298,0.35*targetGainShare(1.48%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.80) + 0.05*accessSupport(0.45),13,325,4,80,2,1,0.450,medium,registration_goal|current_commitments
Chicot,71,,71,1.427,0.35*targetGainShare(1.52%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Clark,71,,71,1.441,0.35*targetGainShare(1.63%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(2.08%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Clay,71,,71,1.432,0.35*targetGainShare(1.63%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
Cleburne,59,,59,1.171,0.35*targetGainShare(1.67%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(0.69%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.60) + 0.05*accessSupport(0.45),12,295,3,80,1,1,0.450,medium,registration_goal|current_commitments
Cleveland,65,,65,1.309,0.35*targetGainShare(1.72%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(0.80) + 0.05*accessSupport(0.45),13,325,4,80,2,1,0.450,medium,registration_goal|current_commitments
Columbia,72,,72,1.451,0.35*targetGainShare(1.87%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(2.08%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,360,4,80,2,1,0.450,medium,registration_goal|current_commitments
Conway,71,,71,1.445,0.35*targetGainShare(1.93%) + 0.20*registrationGoalShare(0.00%) + 0.15*turnoutHeadroomShare(0.00%) + 0.10*opportunityLoadShare(1.39%) + 0.10*localInfrastructureGap(0.33) + 0.05*lowTouch(1.00) + 0.05*accessSupport(0.45),15,355,4,80,2,1,0.450,medium,registration_goal|current_commitments
