county,eventStaffingNeed,localGuideNeed,housePartyHostNeed,followUpVolunteerNeed,voterRegistrationEducationNeed,phoneBankCapacityNeedHours,postcardCapacityNeedEstimate,hispanicCommunityAccessNeed,campusYouthAccessNeed,seniorCommunityAccessNeed,countyVolunteerNeedPct,countyVolunteerNeedFormula,confidence,missingData
Arkansas,2,1,3,4,1,9,172,monitor,none_known,monitor,34.32,0.25*targetGain(0.613) + 0.20*regGoal(0.000) + 0.20*opportunity(0.100) + 0.15*lowTouch(0.600) + 0.10*localGap(0.350) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Ashley,4,1,3,4,1,11,229,monitor,none_known,monitor,45.82,0.25*targetGain(0.653) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Baxter,4,1,3,4,1,12,233,monitor,none_known,monitor,46.59,0.25*targetGain(0.684) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Benton,2,1,3,4,1,11,223,monitor,none_known,monitor,44.66,0.25*targetGain(0.686) + 0.20*regGoal(0.000) + 0.20*opportunity(0.100) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Boone,4,1,3,4,1,12,237,monitor,none_known,monitor,47.42,0.25*targetGain(0.717) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Bradley,4,1,3,4,1,11,225,monitor,none_known,monitor,44.94,0.25*targetGain(0.478) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.950) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Calhoun,4,1,3,4,1,10,209,monitor,none_known,monitor,41.72,0.25*targetGain(0.489) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Carroll,4,1,3,4,1,11,216,monitor,none_known,monitor,43.11,0.25*targetGain(0.524) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(0.800) + 0.10*localGap(0.950) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Chicot,4,1,3,4,1,11,215,monitor,none_known,monitor,43.00,0.25*targetGain(0.540) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Clark,6,1,3,4,1,12,247,monitor,monitor,monitor,49.44,0.25*targetGain(0.578) + 0.20*regGoal(0.000) + 0.20*opportunity(0.300) + 0.15*lowTouch(1.000) + 0.10*localGap(0.950) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Clay,4,1,3,4,1,11,220,monitor,none_known,monitor,43.93,0.25*targetGain(0.577) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(1.000) + 0.10*localGap(0.600) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Cleburne,2,1,3,4,1,8,169,monitor,none_known,monitor,33.81,0.25*targetGain(0.592) + 0.20*regGoal(0.000) + 0.20*opportunity(0.100) + 0.15*lowTouch(0.600) + 0.10*localGap(0.350) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
Cleveland,4,1,3,4,1,11,226,monitor,none_known,monitor,45.28,0.25*targetGain(0.611) + 0.20*regGoal(0.000) + 0.20*opportunity(0.200) + 0.15*lowTouch(0.800) + 0.10*localGap(0.950) + 0.10*access(0.450),low,registration_goal|volunteer_roster_counts|local_guides_known|acs_hispanic_latino_share
