county_name,notes
Arkansas,Not Arkansas County vs the state — this is Arkansas County
Ashley,
Baxter,
Benton,
Boone,
Bradley,
Calhoun,
Carroll,
Chicot,
Clark,
Clay,
Cleburne,
Cleveland,
Columbia,
Conway,
Craighead,
Crawford,
Crittenden,
Cross,
Dallas,
Desha,
Drew,
Faulkner,
Franklin,
Fulton,
Garland,Hot Springs is in Garland County — not Hot Spring County
Grant,
Greene,
Hempstead,
Hot Spring,County seat Malvern — not Hot Springs
Howard,
Independence,
Izard,
Jackson,
Jefferson,
Johnson,
Lafayette,
Lawrence,
Lee,
Lincoln,
Little River,
Logan,
Lonoke,
Madison,
Marion,
Miller,
Mississippi,
Monroe,
Montgomery,
Nevada,
Newton,
Ouachita,
Perry,
Phillips,
Pike,
Poinsett,
Polk,
Pope,
Prairie,
Pulaski,
Randolph,
St. Francis,Use this exact spelling with the period
Saline,
Scott,
Searcy,
Sebastian,
Sevier,
Sharp,
Stone,
Union,
Van Buren,
Washington,
White,
Woodruff,
Yell,
