# Kelly Grappe for Arkansas Secretary of State
# Electd public-forms packet
# Date: 2026-08-17
# Site: https://kgrappe.netlify.app
# Contact: kelly@kellygrappe.com
#
# What we need back from Electd:
# 1) One hosted form URL per form_id below
# 2) Optional embed snippet (or we will iframe/link the hosted URL)
# 3) Field keys that match the field_key column (so submissions can populate our Kelly DB)
# 4) Confirmation that submissions land in the Electd dashboard AND can export/webhook to us
#
# Out of scope for Electd (do not rebuild):
# - Donate (GoodChange processor)
# - Substack subscribe (Kelly's Substack)
# - Admin / operator / volunteer-board login forms
# - mailto:kelly@kellygrappe.com contact
# - Event RSVP that is a Google Meet / Facebook join link
# - Direct democracy commitment form (code exists, not mounted on the public site)

form_id,priority,form_name,site_urls,submit_button,field_key,label,type,required,options,notes
join_movement,P0,Stay connected / Join the campaign,/get-involved#join,Stay connected,name,Full name,text,TRUE,,
join_movement,P0,Stay connected / Join the campaign,/get-involved#join,Stay connected,email,Email,email,TRUE,,
join_movement,P0,Stay connected / Join the campaign,/get-involved#join,Stay connected,phone,Phone,tel,FALSE,,Optional
join_movement,P0,Stay connected / Join the campaign,/get-involved#join,Stay connected,zip,ZIP,text,FALSE,,Optional in schema; collect if possible
join_movement,P0,Stay connected / Join the campaign,/get-involved#join,Stay connected,county,County,select,FALSE,See ARKANSAS_COUNTIES.csv,75 Arkansas counties dropdown preferred
join_movement,P0,Stay connected / Join the campaign,/get-involved#join,Stay connected,interests,How you want to help,multiselect,FALSE,"field=Field / events; digital=Digital help; faith_communities=Faith communities; voter_education=Voter education; party_or_civic_meeting=Party or civic meeting invite; direct_democracy=Ballot access & initiatives",
join_movement,P0,Stay connected / Join the campaign,/get-involved#join,Stay connected,message,Anything we should know?,textarea,FALSE,,Max 2000
join_movement,P0,Stay connected / Join the campaign,/get-involved#join,Stay connected,consentEmail,Email me campaign updates,checkbox,FALSE,,Explicit opt-in only; do not infer from submit
join_movement,P0,Stay connected / Join the campaign,/get-involved#join,Stay connected,consentSms,Text me (SMS),checkbox,FALSE,,Requires phone if checked
join_movement,P0,Stay connected / Join the campaign,/get-involved#join,Stay connected,sourcePage,Source page,hidden,FALSE,,Auto: current URL path
join_movement,P0,Stay connected / Join the campaign,/get-involved#join,Stay connected,sourceComponent,Source component,hidden,FALSE,,Example: JoinMovementForm
