page,spread,chapter,element,severity,defect,proposed_production_repair,structural_freeze_risk,status
1,1,front/back,frontmatter;heading_text_present,REVIEW,REVIEW_LOW_DENSITY_TOP20;REVIEW_SHORT_BOTTOM_LINE,PENDING VISUAL INSPECTION,DO NOT EDIT FROZEN PROSE OR MOVE FIGURE BEFORE ANCHOR,PENDING_VISUAL
2,2-3,front/back,frontmatter;heading_text_present,REVIEW,REVIEW_LOW_DENSITY_TOP20;REVIEW_SHORT_BOTTOM_LINE;REVIEW_SHORT_TOP_LINE,PENDING VISUAL INSPECTION,DO NOT EDIT FROZEN PROSE OR MOVE FIGURE BEFORE ANCHOR,PENDING_VISUAL
3,2-3,front/back,frontmatter,REVIEW,REVIEW_LOW_DENSITY_TOP20;REVIEW_SHORT_TOP_LINE,PENDING VISUAL INSPECTION,DO NOT EDIT FROZEN PROSE OR MOVE FIGURE BEFORE ANCHOR,PENDING_VISUAL
4,4-5,front/back,frontmatter,REVIEW,REVIEW_LOW_DENSITY_TOP20;REVIEW_SHORT_TOP_LINE,PENDING VISUAL INSPECTION,DO NOT EDIT FROZEN PROSE OR MOVE FIGURE BEFORE ANCHOR,PENDING_VISUAL
5,4-5,front/back,part_candidate;frontmatter;heading_text_present,REVIEW,REVIEW_LOW_DENSITY_TOP20;REVIEW_SHORT_TOP_LINE,PENDING VISUAL INSPECTION,DO NOT EDIT FROZEN PROSE OR MOVE FIGURE BEFORE ANCHOR,PENDING_VISUAL
6,6-7,1,chapter_open;heading_text_present,REVIEW,REVIEW_SHORT_TOP_LINE,PENDING VISUAL INSPECTION,DO NOT EDIT FROZEN PROSE OR MOVE FIGURE BEFORE ANCHOR,PENDING_VISUAL
7,6-7,1,body,REVIEW,REVIEW_SHORT_BOTTOM_LINE;REVIEW_SHORT_TOP_LINE,PENDING VISUAL INSPECTION,DO NOT EDIT FROZEN PROSE OR MOVE FIGURE BEFORE ANCHOR,PENDING_VISUAL
8,8-9,1,figure_02;heading_text_present,REVIEW,REVIEW_SHORT_TOP_LINE,PENDING VISUAL INSPECTION,DO NOT EDIT FROZEN PROSE OR MOVE FIGURE BEFORE ANCHOR,PENDING_VISUAL
9,8-9,1,figure_03;heading_text_present,REVIEW,REVIEW_SHORT_TOP_LINE,PENDING VISUAL INSPECTION,DO NOT EDIT FROZEN PROSE OR MOVE FIGURE BEFORE ANCHOR,PENDING_VISUAL
10,10-11,1,body,REVIEW,P2_HIGH_DENSITY;REVIEW_HIGH_DENSITY_TOP20;REVIEW_SHORT_TOP_LINE,PENDING VISUAL INSPECTION,DO NOT EDIT FROZEN PROSE OR MOVE FIGURE BEFORE ANCHOR,PENDING_VISUAL
